card_id	quantity	language	set_code	set_name	card_number	card_name	pokemon_name	rarity	holo_pattern	listing_count	p25_total	median_total	min_total	max_total	estimated_shipping	LISTING_PRICE	unit_gross_after_shipping	unit_marketplace_fee	unit_net_after_fee	total_gross_after_shipping	total_marketplace_fee	total_net_after_fee	snapshot_created_at
591	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0101/07	Captain Pikachu	Captain Pikachu	Common		4	$4.60	$5.06	$4.14	$5.98	$1.00	$3.50	$3.50	$0.46	$3.04	$10.50	$1.38	$9.12	2026-06-04 14:50:51
592	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0102/07	Captain Pikachu	Captain Pikachu	Common		7	$3.19	$4.62	$2.99	$6.00	$1.00	$2.00	$2.00	$0.26	$1.74	$2.00	$0.26	$1.74	2026-06-04 14:50:51
593	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0103/07	Captain Pikachu	Captain Pikachu	Uncommon		4	$8.76	$8.76	$8.75	$8.77	$1.00	$7.75	$7.75	$1.03	$6.72	$7.75	$1.03	$6.72	2026-06-04 14:50:51
594	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0104/07	Captain Pikachu	Captain Pikachu	Uncommon		4	$7.71	$8.75	$6.67	$8.75	$1.00	$6.50	$6.50	$0.86	$5.64	$6.50	$0.86	$5.64	2026-06-04 14:50:51
595	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0105/07	Captain Pikachu	Captain Pikachu	Rare		17	$6.00	$12.99	$4.99	$25.00	$1.00	$4.75	$4.75	$0.63	$4.12	$9.50	$1.26	$8.24	2026-06-04 14:50:51
598	8	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0201/07	Hisuian Growlithe	Hisuian Growlithe	Common		11	$2.24	$2.74	$1.99	$2.99	$1.00	$1.00	$1.00	$0.13	$0.87	$8.00	$1.04	$6.96	2026-06-04 14:50:51
599	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0202/07	Hisuian Growlithe	Hisuian Growlithe	Common		11	$2.00	$2.62	$1.99	$3.24	$1.00	$0.99	$0.99	$0.13	$0.86	$3.96	$0.52	$3.44	2026-06-04 14:50:51
600	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0203/07	Hisuian Growlithe	Hisuian Growlithe	Uncommon		12	$4.08	$5.98	$1.79	$5.98	$1.00	$3.00	$3.00	$0.40	$2.60	$3.00	$0.40	$2.60	2026-06-04 14:50:51
601	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0204/07	Hisuian Growlithe	Hisuian Growlithe	Uncommon		9	$2.18	$2.87	$1.99	$5.98	$1.00	$1.00	$1.00	$0.13	$0.87	$2.00	$0.26	$1.74	2026-06-04 14:50:51
602	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0205/07	Hisuian Growlithe	Hisuian Growlithe	Rare		15	$2.56	$3.86	$1.79	$5.98	$1.00	$1.50	$1.50	$0.20	$1.30	$6.00	$0.80	$5.20	2026-06-04 14:50:51
