card_id	quantity	language	set_code	set_name	card_number	card_name	pokemon_name	rarity	holo_pattern	pricing_source_used	listing_count	marketplace_listing_count	variation_listing_count	p25_total_cents	p25_total	mean_total_cents	mean_total	median_total_cents	median_total	min_total_cents	min_total	max_total_cents	max_total	stddev_total_cents	stddev_total	estimated_shipping_cents	estimated_shipping	LISTING_PRICE_CENTS	LISTING_PRICE	unit_gross_after_shipping_cents	unit_gross_after_shipping	unit_marketplace_fee_cents	unit_marketplace_fee	unit_net_after_fee_cents	unit_net_after_fee	total_gross_after_shipping_cents	total_gross_after_shipping	total_marketplace_fee_cents	total_marketplace_fee	total_net_after_fee_cents	total_net_after_fee	snapshot_created_at
591	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0101/07	Captain Pikachu	Captain Pikachu	Common		combined_raw	5	2	3	414.0	$4.14	474.6	$4.75	528.0	$5.28	233	$2.33	600	$6.00	154.79599478022678	$1.55	100	$1.00	300	$3.00	300	$3.00	40	$0.40	260	$2.60	900	$9.00	120	$1.20	780	$7.80	recalculated_from_raw
592	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0102/07	Captain Pikachu	Captain Pikachu	Common		combined_raw	6	4	2	305.5	$3.06	459.1666666666667	$4.59	461.5	$4.62	233	$2.33	700	$7.00	195.91571316937973	$1.96	100	$1.00	200	$2.00	200	$2.00	26	$0.26	174	$1.74	200	$2.00	26	$0.26	174	$1.74	recalculated_from_raw
593	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0103/07	Captain Pikachu	Captain Pikachu	Uncommon		combined_raw	2	2	0	875.5	$8.76	876.0	$8.76	876.0	$8.76	875	$8.75	877	$8.77	1.4142135623730951	$0.01	100	$1.00	775	$7.75	775	$7.75	103	$1.03	672	$6.72	775	$7.75	103	$1.03	672	$6.72	recalculated_from_raw
594	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0104/07	Captain Pikachu	Captain Pikachu	Uncommon		combined_raw	2	2	0	719.0	$7.19	771.0	$7.71	771.0	$7.71	667	$6.67	875	$8.75	147.07821048680188	$1.47	100	$1.00	600	$6.00	600	$6.00	80	$0.80	520	$5.20	600	$6.00	80	$0.80	520	$5.20	recalculated_from_raw
595	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0105/07	Captain Pikachu	Captain Pikachu	Rare		combined_raw	6	5	1	574.25	$5.74	1099.5	$10.99	875.0	$8.75	499	$4.99	2500	$25.00	757.2187926880844	$7.57	100	$1.00	450	$4.50	450	$4.50	60	$0.60	390	$3.90	900	$9.00	120	$1.20	780	$7.80	recalculated_from_raw
598	8	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0201/07	Hisuian Growlithe	Hisuian Growlithe	Common		combined_raw	11	6	5	200.0	$2.00	243.1818181818182	$2.43	243.0	$2.43	199	$1.99	300	$3.00	40.508809367391144	$0.41	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	800	$8.00	104	$1.04	696	$6.96	recalculated_from_raw
599	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0202/07	Hisuian Growlithe	Hisuian Growlithe	Common		combined_raw	12	7	5	200.0	$2.00	250.75	$2.51	246.5	$2.46	199	$1.99	324	$3.24	45.65707154229432	$0.46	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	400	$4.00	52	$0.52	348	$3.48	recalculated_from_raw
600	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0203/07	Hisuian Growlithe	Hisuian Growlithe	Uncommon		combined_raw	7	4	3	236.0	$2.36	333.0	$3.33	274.0	$2.74	179	$1.79	598	$5.98	145.17345946602407	$1.45	100	$1.00	125	$1.25	125	$1.25	17	$0.17	108	$1.08	125	$1.25	17	$0.17	108	$1.08	recalculated_from_raw
601	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0204/07	Hisuian Growlithe	Hisuian Growlithe	Uncommon		combined_raw	8	4	4	221.75	$2.22	312.375	$3.12	286.5	$2.87	199	$1.99	598	$5.98	132.82527459572057	$1.33	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	200	$2.00	26	$0.26	174	$1.74	recalculated_from_raw
602	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0205/07	Hisuian Growlithe	Hisuian Growlithe	Rare		combined_raw	11	6	5	221.5	$2.21	337.8181818181818	$3.38	274.0	$2.74	179	$1.79	598	$5.98	149.85647679150753	$1.50	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	400	$4.00	52	$0.52	348	$3.48	recalculated_from_raw
603	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0206/07	Hisuian Growlithe	Hisuian Growlithe	Double Rare		combined_raw	7	6	1	371.0	$3.71	468.7142857142857	$4.69	418.0	$4.18	224	$2.24	798	$7.98	186.30773314216302	$1.86	100	$1.00	250	$2.50	250	$2.50	33	$0.33	217	$2.17	500	$5.00	66	$0.66	434	$4.34	recalculated_from_raw
605	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0301/07	Magneton	Magneton	Common		combined_raw	10	5	5	208.25	$2.08	260.6	$2.61	255.5	$2.56	199	$1.99	391	$3.91	60.183423336035354	$0.60	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	500	$5.00	65	$0.65	435	$4.35	recalculated_from_raw
606	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0302/07	Magneton	Magneton	Common		combined_raw	11	6	5	200.0	$2.00	247.27272727272728	$2.47	243.0	$2.43	199	$1.99	324	$3.24	46.2732987998282	$0.46	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	600	$6.00	78	$0.78	522	$5.22	recalculated_from_raw
607	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0303/07	Magneton	Magneton	Uncommon		combined_raw	6	2	4	207.25	$2.07	281.0	$2.81	264.5	$2.65	199	$1.99	408	$4.08	86.30179604156567	$0.86	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	600	$6.00	78	$0.78	522	$5.22	recalculated_from_raw
608	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0304/07	Magneton	Magneton	Uncommon		combined_raw	12	7	5	221.75	$2.22	426.3333333333333	$4.26	287.0	$2.87	189	$1.89	1653	$16.53	406.0309735908721	$4.06	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	600	$6.00	78	$0.78	522	$5.22	recalculated_from_raw
609	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0305/07	Magneton	Magneton	Rare		combined_raw	8	4	4	247.5	$2.48	367.0	$3.67	354.0	$3.54	200	$2.00	598	$5.98	144.62661284444556	$1.45	100	$1.00	125	$1.25	125	$1.25	17	$0.17	108	$1.08	500	$5.00	68	$0.68	432	$4.32	recalculated_from_raw
610	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0306/07	Magneton	Magneton	Double Rare		combined_raw	4	3	1	417.0	$4.17	472.5	$4.72	506.0	$5.06	279	$2.79	599	$5.99	140.69707412262227	$1.41	100	$1.00	300	$3.00	300	$3.00	40	$0.40	260	$2.60	900	$9.00	120	$1.20	780	$7.80	recalculated_from_raw
612	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0401/07	Chansey	Chansey	Common		combined_raw	9	5	4	200.0	$2.00	248.66666666666666	$2.49	233.0	$2.33	199	$1.99	391	$3.91	64.59682654743962	$0.65	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	500	$5.00	65	$0.65	435	$4.35	recalculated_from_raw
613	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0402/07	Chansey	Chansey	Common		combined_raw	8	4	4	199.75	$2.00	254.75	$2.55	238.0	$2.38	199	$1.99	391	$3.91	66.24359807343112	$0.66	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	396	$3.96	52	$0.52	344	$3.44	recalculated_from_raw
615	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0404/07	Chansey	Chansey	Uncommon		combined_raw	6	4	2	224.75	$2.25	334.0	$3.34	299.5	$3.00	199	$1.99	598	$5.98	150.8204230202263	$1.51	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	400	$4.00	52	$0.52	348	$3.48	recalculated_from_raw
616	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0405/07	Chansey	Chansey	Rare		combined_raw	9	6	3	274.0	$2.74	450.3333333333333	$4.50	399.0	$3.99	200	$2.00	1200	$12.00	305.45826228799245	$3.05	100	$1.00	150	$1.50	150	$1.50	20	$0.20	130	$1.30	450	$4.50	60	$0.60	390	$3.90	recalculated_from_raw
617	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0406/07	Chansey	Chansey	Double Rare		combined_raw	3	3	0	371.0	$3.71	413.6666666666667	$4.14	379.0	$3.79	363	$3.63	499	$4.99	74.33258594542056	$0.74	100	$1.00	250	$2.50	250	$2.50	33	$0.33	217	$2.17	250	$2.50	33	$0.33	217	$2.17	recalculated_from_raw
